問題番号,分野,肢,文章,正誤,簡単な解説
令和7年度第1問,民法,ア,錯誤による意思表示は、その錯誤が表意者の重大な過失によるものであった場合であっても、相手方が表意者に錯誤があることを重大な過失により知らなかったときは、取り消すことができる。,○,民法第95条3項2号により、相手方が重大な過失によって錯誤を知らなかった場合は、表意者に重過失があっても取り消すことができるため。
令和7年度第1問,民法,イ,第三者の強迫によって不動産を売却した者は、買主が強迫の事実を知らなかった場合には、当該不動産の売買の意思表示を取り消すことができない。,×,民法第96条2項は第三者の詐欺の規定であり、強迫の場合は相手方の善意・悪意を問わず常に取り消すことができるため。
令和7年度第1問,民法,ウ,買主の詐欺によって不動産を売却した者は、当該不動産の売買の意思表示を取り消す前に当該買主が詐欺の事実につき善意無過失の第三者に当該不動産を転売していた場合には、当該第三者への所有権の移転の登記がされていないときであっても、その取消しを当該第三者に対抗することができない。,○,民法第96条3項により、詐欺による取消しは善意無過失の第三者に対抗できない。この第三者の保護に登記の有無は問われないため。
令和7年度第1問,民法,エ,相手方が正当な理由なく意思表示の通知が到達することを妨げたときは、その通知は、表意者が通知を発した時に相手方に到達したものとみなされる。,×,民法第97条2項により、通知を発した時ではなく、「通常到達すべきであった時」に到達したものとみなされるため。
令和7年度第1問,民法,オ,表意者がその真意ではないことを知って意思表示をした場合において、当該意思表示の相手方がその旨を知っていたときは、当該意思表示の無効は、善意有過失の第三者に対抗することができる。,×,民法第93条2項により、心裡留保による無効は「善意の第三者」に対抗できず、第三者に無過失までは要求されていないため。
令和7年度第2問,民法,ア,甲土地を占有しているＡが死亡し、ＢがＡを相続した場合には、Ｂが甲土地の取得時効を主張するためには、自己の占有にＡの占有を併せて主張しなければならず、自己の占有のみを主張することはできない。,×,相続人は、自己の占有のみを主張することも、被相続人の占有を併せて主張することも選択できるため。
令和7年度第2問,民法,イ,Ａが所有する甲建物を無権原のＢから賃借して占有していたＣは、その占有期間中Ｂが甲建物の所有者であると過失なく信じていたとしても、Ａに対し、その使用利益を返還する義務を負う。,×,民法第189条1項により、善意の占有者は果実を取得する権利があり、建物の使用利益についても返還義務を負わないため。
令和7年度第2問,民法,ウ,Ａが所有する甲建物を無権原のＢから賃借して占有しているＣは、Ａに甲建物を明け渡す場合には、その占有期間中に落雷によって生じた甲建物の損傷を修復するために修繕費を支出していたとしても、Ａに対し、当該修繕費の償還を請求することはできない。,×,民法第196条1項により、果実を取得した占有者は通常の必要費の償還は請求できないが、落雷による修繕費は特別必要費にあたり償還請求できるため。
令和7年度第2問,民法,エ,Ａが自己の所有する甲建物をＢに占有させている場合において、Ａが甲建物をＣに売却した後、ＡがＢに対して以後Ｃのために甲建物を占有することを命じ、Ｃがこれを承諾したときは、Ｃは、甲建物の占有権を取得する。,○,民法第184条の指図による占有移転の要件を満たしており、受譲人Ｃは占有権を取得するため。
令和7年度第2問,民法,オ,甲建物の賃借人であるＡから甲建物を転借して占有しているＢが、Ｃによりその占有を奪われたときは、Ａは、Ｃに対し、占有回収の訴えを提起することができる。,○,民法第200条1項により、代理占有させている間接占有者であるＡも、占有回収の訴えを提起することができるため。
令和7年度第3問,民法,ア,相続の放棄をしようとする者は、相続の承認又は放棄をすべき期間内に、その旨を法務局又は地方法務局に申述しなければならない。,×,民法第938条により、相続の放棄は法務局ではなく家庭裁判所に申述しなければならないため。
令和7年度第3問,民法,イ,相続人は、相続の承認又は放棄をするまでの期間中、その固有財産におけるのと同一の注意をもって、相続財産を管理しなければならない。,○,民法第918条1項により、相続人は固有財産におけるのと同一の注意義務をもって相続財産を管理することが規定されているため。
令和7年度第3問,民法,ウ,限定承認者は、民法の規定に従って各相続債権者に弁済をした後でなければ、受遺者に弁済をすることができない。,○,民法第931条により、限定承認手続において相続債権者への弁済が受遺者への弁済に優先するため。
令和7年度第3問,民法,エ,相続人が、自己のために相続が開始した事実を知りながら、相続財産の全部又は一部について保存行為をしたときは、単純承認をしたものとみなされる。,×,民法第921条1号ただし書により、保存行為は単純承認をしたものとはみなされないため。
令和7年度第3問,民法,オ,共同相続人のうちの一人について相続の放棄又は承認をすべき期間が経過した場合であっても、他の相続人について相続の放棄又は承認をすべき期間が経過していないときは、当該共同相続人の全員が共同して限定承認をすることができる。,○,熟慮期間が経過していない他の相続人がいる場合、相続人全員が共同して限定承認をすることは認められているため。
令和7年度第4問,不動産登記法,ア,土地の表題部所有者又は所有権の登記名義人は、地図に表示された当該土地の区画に誤りがあることを発見した場合には、その誤りを発見した日から1月以内に地図訂正の申出をしなければならない。,×,不動産登記法第14条第3項に基づく地図訂正の申出には、表示に関する登記のような1月以内という期間制限（義務）は設けられていないため。
令和7年度第4問,不動産登記法,イ,地図に表示された土地の区画に誤りがある場合には、登記官は、当該土地の表題部所有者又は所有権の登記名義人からの地図訂正の申出がなくても、職権でその訂正をすることができる。,○,不動産登記規則第16条により、登記官は申出を待たずに職権で地図等の訂正をすることができるため。
令和7年度第4問,不動産登記法,ウ,地図に表示された土地の区画に誤りがあるが当該土地の登記記録の地積に錯誤がない場合には、地図訂正の申出をすることはできない。,×,地積に錯誤がなくても、地図の区画表示自体に誤りがある場合は地図訂正の申出をすることができるため。
令和7年度第4問,不動産登記法,エ,地図の訂正をすることによって、申出に係る土地以外の土地の区画又は位置若しくは形状を訂正すべきこととなるときには、登記官は、申出に基づき地図の訂正をすることはできない。,○,地図の訂正が隣接地等の他の土地の区画等に影響を及ぼす場合は、原則として当該申出に基づく訂正はできないため。
令和7年度第4問,不動産登記法,オ,地図に表示された土地の区画に誤りがある場合において、当該土地の所有権の登記名義人が二人であるときは、地図訂正の申出は、そのうちの一人からすることができる。,○,地図訂正の申出は保存行為に該当するため、共有者の一人から単独ですることができるため。
令和7年度第5問,不動産登記法,ア,土地に関する閉鎖登記記録の保存期間は永久と定められている。,×,不動産登記規則により、閉鎖登記記録の保存期間は50年とされているため。
令和7年度第5問,不動産登記法,イ,閉鎖した建物所在図の保存期間は永久と定められている。,○,不動産登記規則第28条第3号により、閉鎖した地図や建物所在図の保存期間は永久とされているため。
令和7年度第5問,不動産登記法,ウ,建物の合併の登記の申請情報の保存期間は永久と定められている。,×,不動産登記規則により、申請情報の保存期間は受付日から30年等であり、永久ではないため。
令和7年度第5問,不動産登記法,エ,筆界特定書に記載された情報の保存期間は永久と定められている。,○,不動産登記規則第28条の2により、筆界特定手続記録のうち筆界特定書等の保存期間は永久とされているため。
令和7年度第5問,不動産登記法,オ,閉鎖した地積測量図の保存期間は永久と定められている。,×,閉鎖した地積測量図の保存期間は永久ではなく、50年等と定められているため。
令和7年度第6問,不動産登記法,ア,私人が所有する土地について、市町村が代位による土地の表題登記を嘱託する場合には、当該土地についての被代位者が所有権を有することを証する情報を提供することを要する。,○,官公署が代位して表題登記を嘱託する場合、被代位者が所有権を有することを証する情報の提供が必要なため。
令和7年度第6問,不動産登記法,イ,市町村から登記の嘱託の委任を受けた代理人が当該登記の嘱託をする場合には、嘱託情報と併せて提供すべき市町村長が作成した委任状は、作成後3月以内のものであることを要しない。,○,官公署が作成した代理権限を証する情報（委任状）には、作成後3ヶ月以内という期間制限は適用されないため。
令和7年度第6問,不動産登記法,ウ,市町村がその所有する建物の表題登記の嘱託をする場合には、当該建物の所有権を有することを証する情報を提供することを要する。,×,官公署が自ら所有する不動産の表題登記を嘱託する場合、所有権を証する情報の提供は省略できるため。
令和7年度第6問,不動産登記法,エ,私人が所有権の登記名義人である土地の一部が河川法の定める河川区域内の土地となった場合において、河川管理者がその旨の登記を登記所に嘱託するときは、河川管理者は、当該土地の所有権の登記名義人に代わって、当該土地の分筆の登記を登記所に嘱託することができる。,○,不動産登記法第117条等により、河川管理者は登記名義人に代わって分筆等の登記を嘱託することができるため。
令和7年度第6問,不動産登記法,オ,市町村が、当該市町村を所有権の登記名義人とする土地についての合筆の登記の嘱託をする場合には、その嘱託情報に登記識別情報の通知を希望する旨の情報が含まれていたとしても、登記識別情報は通知されない。,×,官公署であっても、嘱託情報において登記識別情報の通知を希望した場合には、登記識別情報が通知されるため。
